folder,files_count,status,error
C:\Users\dell\Downloads\marcaagua\listo\Yisset_md,34,ok,
C:\Users\dell\Downloads\marcaagua\listo\Yuna Mitake,62,ok,
C:\Users\dell\Downloads\marcaagua\listo\Yuselisferrer o adrisnacroft,31,ok,
C:\Users\dell\Downloads\marcaagua\listo\Zoey Curly,46,ok,
C:\Users\dell\Downloads\marcaagua\listo\Zoey sinn,59,ok,
C:\Users\dell\Downloads\marcaagua\listo\_nahir flores,16,ok,
C:\Users\dell\Downloads\marcaagua\listo\abigail juncos,20,ok,
C:\Users\dell\Downloads\marcaagua\listo\acuareela blanca,25,ok,
C:\Users\dell\Downloads\marcaagua\listo\alexa pearl delete,92,ok,
C:\Users\dell\Downloads\marcaagua\listo\alvarez nicolll,16,ok,
C:\Users\dell\Downloads\marcaagua\listo\amouranth,46,ok,
C:\Users\dell\Downloads\marcaagua\listo\ashprincessmidna,65,ok,
C:\Users\dell\Downloads\marcaagua\listo\blinkx,28,ok,
C:\Users\dell\Downloads\marcaagua\listo\candy robbs,47,ok,
C:\Users\dell\Downloads\marcaagua\listo\ccamveee,18,ok,
C:\Users\dell\Downloads\marcaagua\listo\deliciosa Vladislava en Halloween,45,ok,
C:\Users\dell\Downloads\marcaagua\listo\eclipsita,33,ok,
C:\Users\dell\Downloads\marcaagua\listo\feet vampire,55,ok,
C:\Users\dell\Downloads\marcaagua\listo\fleamxfree,97,ok,
C:\Users\dell\Downloads\marcaagua\listo\florciii,26,ok,
C:\Users\dell\Downloads\marcaagua\listo\floweremma,11,ok,
C:\Users\dell\Downloads\marcaagua\listo\inguruts y msixela,91,ok,
C:\Users\dell\Downloads\marcaagua\listo\jasmyn2juicy,135,ok,
C:\Users\dell\Downloads\marcaagua\listo\jexys caicedo,19,ok,
C:\Users\dell\Downloads\marcaagua\listo\joliesokolow,18,ok,
C:\Users\dell\Downloads\marcaagua\listo\karely pregnant,13,ok,
C:\Users\dell\Downloads\marcaagua\listo\karencalab,22,ok,
C:\Users\dell\Downloads\marcaagua\listo\kelseymaevip,55,ok,
C:\Users\dell\Downloads\marcaagua\listo\keysi love,15,ok,
C:\Users\dell\Downloads\marcaagua\listo\lanamonroexo,54,ok,
C:\Users\dell\Downloads\marcaagua\listo\lauracurzi_ -  Laura Antonella Curzi,36,ok,
C:\Users\dell\Downloads\marcaagua\listo\love me gentle,47,ok,
C:\Users\dell\Downloads\marcaagua\listo\loveofmylife69,167,timeout,timeout_wait
C:\Users\dell\Downloads\marcaagua\listo\lucylaistner,244,timeout,timeout_wait
C:\Users\dell\Downloads\marcaagua\listo\mariajesusl.ok - Purrincessujoy,5,ok,
C:\Users\dell\Downloads\marcaagua\listo\marietemara,48,ok,
C:\Users\dell\Downloads\marcaagua\listo\mica,76,ok,
C:\Users\dell\Downloads\marcaagua\listo\michelle rabit,236,timeout,timeout_wait
C:\Users\dell\Downloads\marcaagua\listo\miya melody,14,ok,
C:\Users\dell\Downloads\marcaagua\listo\name 42,13,ok,
C:\Users\dell\Downloads\marcaagua\listo\niky quiros,41,ok,
C:\Users\dell\Downloads\marcaagua\listo\rocksylight,53,ok,
C:\Users\dell\Downloads\marcaagua\listo\rusitaok,24,ok,
C:\Users\dell\Downloads\marcaagua\listo\rusitaokfree,45,ok,
C:\Users\dell\Downloads\marcaagua\listo\sakurabesosdulcesxxx,77,ok,
C:\Users\dell\Downloads\marcaagua\listo\sarahbustani,23,ok,
C:\Users\dell\Downloads\marcaagua\listo\saucy tits balis,104,ok,
C:\Users\dell\Downloads\marcaagua\listo\sondra,23,ok,
C:\Users\dell\Downloads\marcaagua\listo\sweetteonly,76,ok,
C:\Users\dell\Downloads\marcaagua\listo\venomousdolly,67,ok,
C:\Users\dell\Downloads\marcaagua\listo\violetwalkers66,23,ok,
C:\Users\dell\Downloads\marcaagua\listo\yanina tula,48,ok,
C:\Users\dell\Downloads\marcaagua\listo\ye.millorini,39,ok,
C:\Users\dell\Downloads\marcaagua\listo\yestigarribia,160,ok,
